Player,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
Pedro Sousa,2016,0.88,0.5,0.38,0.5,0.39,0,0.14,7,7,0.43,2,9,0.11,0.38,8,0.5,0.43,0.5,1,2,39820,119
Roman Safiullin,2017,0.84,0.62,0.26,0.33,0.07,7,0.0,7,0,0.57,1,9,0.0,0.2,9,0.67,0.41,0.57,0,1,17334,381
Pedro Sousa,2017,0.83,0.6,0.28,0.53,0.44,2,0.38,10,8,0.4,1,19,0.16,0.34,17,0.65,0.45,0.59,4,1,109827,119
Rogerio Dutra Silva,2010,0.83,0.64,0.34,0.59,0.33,2,0.33,5,6,0.4,0,14,0.14,0.34,15,0.8,0.49,0.63,0,0,9761,125
Daniel Gimeno-Traver,2017,0.81,0.54,0.0,0.33,0.33,1,0.0,2,0,0.5,2,3,0.0,0.2,2,0.5,0.35,0.5,0,1,32879,272
Andres Artunedo Martinavarro,2014,0.77,0.67,0.09,0.55,0.4,3,0.5,6,2,0.5,1,10,0.1,0.26,9,0.67,0.44,0.64,0,1,10434,495
Eduardo Struvay,2014,0.76,0.65,0.31,0.36,0.41,1,0.29,6,7,0.33,0,10,0.2,0.35,9,0.56,0.45,0.58,0,1,24218,1107
Riccardo Bellotti,2017,0.76,0.55,0.35,0.39,0.41,0,0.5,9,8,0.33,4,13,0.31,0.37,14,0.57,0.45,0.51,0,1,61154,432
Austin Krajicek,2017,0.76,0.78,0.16,0.57,0.49,9,0.25,3,4,0.33,1,17,0.06,0.3,16,0.88,0.5,0.73,0,1,52940,291
Guilherme Clezar,2011,0.76,0.56,0.24,0.46,0.13,3,0.0,5,1,0.4,1,9,0.0,0.21,8,0.63,0.38,0.54,0,1,18829,241
Blaz Kavcic,2009,0.76,0.59,0.34,0.36,0.46,3,0.57,12,7,0.5,1,15,0.27,0.38,14,0.57,0.46,0.53,3,2,75830,127
Ze Zhang,2010,0.76,0.71,0.27,0.28,0.47,11,0.25,10,8,0.7,4,16,0.13,0.34,15,0.8,0.48,0.61,1,4,25635,248
John Millman,2011,0.76,0.72,0.27,0.33,0.59,4,0.67,8,3,0.5,3,14,0.14,0.35,14,0.71,0.48,0.63,0,1,20804,91
Jurgen Melzer,2017,0.75,0.57,0.23,0.54,0.46,4,0.75,9,4,0.22,1,18,0.17,0.31,19,0.63,0.44,0.56,0,2,80170,581
Kristijan Mesaros,2012,0.75,0.56,0.19,0.38,0.42,6,1.0,8,1,0.5,1,9,0.11,0.28,8,0.5,0.41,0.52,0,1,10278,1104
Fabiano De Paula,2014,0.75,0.55,0.25,0.47,0.31,3,0.67,8,3,0.5,2,10,0.2,0.27,10,0.6,0.42,0.53,0,0,8103,700
Pedro Sousa,2012,0.74,0.55,0.32,0.42,0.52,3,0.5,11,4,0.45,3,14,0.14,0.39,13,0.54,0.45,0.52,0,1,41618,119
Salvatore Caruso,2017,0.74,0.58,0.15,0.5,0.67,0,0.0,7,1,0.57,0,9,0.0,0.31,8,0.63,0.43,0.56,0,1,75793,195
Philipp Davydenko,2014,0.74,0.67,0.25,0.42,0.49,3,0.44,19,9,0.68,3,26,0.15,0.33,24,0.75,0.47,0.6,1,1,20344,1071
Kenny De Schepper,2016,0.73,0.65,0.27,0.51,0.46,32,0.26,52,35,0.6,10,81,0.11,0.34,81,0.74,0.48,0.61,1,5,137647,174
Simone Bolelli,2017,0.73,0.62,0.26,0.57,0.45,15,0.4,69,35,0.71,6,83,0.17,0.33,84,0.76,0.48,0.61,2,4,214496,144
Ze Zhang,2013,0.73,0.62,0.23,0.5,0.44,4,0.29,12,7,0.5,9,21,0.1,0.31,21,0.71,0.44,0.58,2,4,57974,248
Alexander Ward,2013,0.73,0.65,0.27,0.61,0.36,4,1.0,4,1,0.5,0,11,0.09,0.3,10,0.8,0.47,0.64,0,1,17398,315
Kenny De Schepper,2017,0.73,0.7,0.32,0.46,0.5,44,0.35,70,71,0.69,28,102,0.25,0.39,104,0.79,0.51,0.63,5,4,116305,174
Darian King,2016,0.73,0.79,0.0,0.92,0.0,7,0.47,46,55,1.0,1,0,0.0,0.0,0,0.0,0.82,0.82,2,2,70674,179
Darian King,2015,0.72,0.42,0.09,0.5,0.44,1,0.5,9,2,0.44,3,8,0.13,0.24,7,0.29,0.35,0.44,5,2,36018,179
Carlos Berlocq,2016,0.72,0.6,0.32,0.45,0.5,20,0.55,95,62,0.58,23,105,0.32,0.4,109,0.63,0.49,0.56,4,6,201475,114
Marco Cecchinato,2013,0.72,0.55,0.24,0.5,0.68,2,0.6,11,5,0.55,1,11,0.27,0.42,11,0.55,0.48,0.54,0,1,47814,100
Gonzalo Escobar,2016,0.72,0.59,0.31,0.33,0.35,4,0.0,10,8,0.6,5,8,0.0,0.33,7,0.43,0.42,0.52,0,0,5973,371
Omar Jasika,2016,0.72,0.68,0.29,0.43,0.51,6,0.44,19,16,0.58,4,32,0.22,0.37,32,0.75,0.49,0.61,1,1,59831,531
Rubin Statham,2017,0.71,0.78,0.2,0.62,0.33,8,0.0,3,5,0.33,2,17,0.0,0.25,16,0.88,0.47,0.73,0,1,11302,354
Roberto Bautista Agut,2013,0.71,0.65,0.3,0.52,0.53,106,0.42,347,344,0.6,82,567,0.25,0.39,569,0.75,0.5,0.61,26,22,489973,16
Flavio Cipolla,2010,0.71,0.52,0.21,0.44,0.33,2,0.0,7,0,0.43,3,8,0.0,0.27,8,0.5,0.4,0.5,0,1,14309,649
Louis Wessels,2016,0.71,0.64,0.4,0.39,0.4,5,0.33,13,15,0.46,9,20,0.25,0.4,21,0.67,0.48,0.56,1,1,22509,579
Kenny De Schepper,2015,0.7,0.69,0.24,0.49,0.44,92,0.27,106,66,0.65,42,187,0.1,0.31,186,0.8,0.47,0.63,4,10,201163,174
Diego Schwartzman,2013,0.7,0.56,0.27,0.48,0.57,6,0.47,57,38,0.51,25,67,0.27,0.39,67,0.58,0.47,0.53,1,5,113026,15
Gerard Granollers,2012,0.7,0.58,0.39,0.29,0.4,0,0.4,6,5,0.17,2,10,0.2,0.39,10,0.5,0.44,0.49,0,1,9153,388
Frederik Nielsen,2011,0.7,0.53,0.29,0.48,0.3,0,0.5,13,2,0.62,1,9,0.11,0.29,10,0.5,0.42,0.51,3,2,22367,549
Riccardo Ghedin,2012,0.7,0.58,0.34,0.38,0.39,2,0.33,9,3,0.56,1,9,0.11,0.36,9,0.56,0.45,0.52,0,0,5939,989
Frederik Nielsen,2010,0.7,0.48,0.28,0.4,0.61,1,0.13,12,8,0.58,3,8,0.13,0.39,9,0.44,0.42,0.45,1,1,9259,549
Aldin Setkic,2016,0.7,0.62,0.16,0.5,0.38,6,0.5,14,2,0.71,8,16,0.06,0.24,15,0.73,0.45,0.59,0,1,61817,227
Matteo Viola,2014,0.7,0.57,0.28,0.5,0.41,2,0.2,8,5,0.5,2,9,0.11,0.32,10,0.6,0.45,0.55,0,1,68286,270
Flavio Cipolla,2012,0.7,0.61,0.34,0.44,0.52,31,0.45,358,289,0.56,128,438,0.3,0.41,432,0.63,0.49,0.56,4,13,48176,649
Joao Domingues,2017,0.7,0.68,0.31,0.45,0.41,6,0.38,14,16,0.5,1,33,0.18,0.34,31,0.77,0.47,0.61,2,1,55789,205
Gregoire Barrere,2016,0.7,0.58,0.3,0.49,0.4,14,0.36,21,14,0.48,4,30,0.17,0.34,30,0.63,0.45,0.56,0,2,87637,281
Mate Pavic,2015,0.69,0.7,0.19,0.5,0.5,3,0.17,5,6,0.4,0,13,0.08,0.33,13,0.77,0.47,0.64,19,16,102266,938
Simone Bolelli,2011,0.69,0.64,0.27,0.54,0.47,37,0.42,97,65,0.58,5,150,0.18,0.34,150,0.73,0.48,0.61,5,9,172425,144
Laurent Lokoli,2015,0.69,0.65,0.2,0.44,0.42,14,0.27,22,11,0.59,7,29,0.1,0.3,30,0.7,0.45,0.59,0,2,38600,476
Kevin Anderson,2009,0.69,0.73,0.18,0.45,0.45,75,0.26,46,27,0.57,25,98,0.07,0.29,96,0.79,0.47,0.64,2,6,100237,8
John Isner,2011,0.69,0.77,0.24,0.55,0.42,811,0.34,217,292,0.66,150,769,0.13,0.31,784,0.91,0.51,0.7,36,21,989679,9
Blaz Kavcic,2015,0.69,0.63,0.3,0.39,0.49,60,0.4,130,86,0.5,57,168,0.2,0.37,166,0.61,0.47,0.55,3,10,217755,127
Christopher Eubanks,2016,0.69,0.85,0.08,0.41,0.27,6,0.0,1,0,1.0,8,12,0.0,0.17,12,1.0,0.46,0.71,0,1,16086,290
Maximo Gonzalez,2010,0.69,0.62,0.27,0.43,0.51,14,0.33,113,84,0.58,22,146,0.19,0.37,140,0.66,0.46,0.56,3,9,120565,538
